"Screen_Tech","Avg_mode_power"
"LCD (LED)",127.86
"LCD (LED)",128
"LCD (LED)",128.1
"LCD (LED)",128.4
"LCD (LED)",128.56
"LCD (LED)",128.8
"LCD (LED)",128.9
"LCD (LED)",129
"LCD (LED)",129.1
"LCD (LED)",129.15
"LCD (LED)",129.3
"LCD (LED)",129.47
"LCD (LED)",129.6
"LCD (LED)",129.8
"LCD (LED)",129.96
"LCD (LED)",130
"LCD (LED)",130.146
"LCD (LED)",130.7
"LCD (LED)",130.8
"LCD (LED)",131
"LCD (LED)",131.3
"LCD (LED)",131.33
"LCD (LED)",132
"LCD (LED)",132.27
"LCD (LED)",132.81
"LCD (LED)",133
"LCD (LED)",133.21
"LCD (LED)",133.75
"LCD (LED)",133.76
"LCD (LED)",134
"LCD (LED)",134.33
"LCD (LED)",134.4
"LCD (LED)",134.6
"LCD (LED)",134.93
"LCD (LED)",135
"LCD (LED)",135.48
"LCD (LED)",135.9
"LCD (LED)",136
"LCD (LED)",136.1
"LCD (LED)",136.3
"LCD (LED)",136.6
"LCD (LED)",136.9
"LCD (LED)",137
"LCD (LED)",137.1
"LCD (LED)",137.2
"LCD (LED)",137.3
"LCD (LED)",137.7
"LCD (LED)",137.97
"LCD (LED)",138
"LCD (LED)",138.82
"LCD (LED)",139
"LCD (LED)",139.5
"LCD (LED)",139.54
"LCD (LED)",139.758
"LCD (LED)",140
"LCD (LED)",140.3
"LCD (LED)",140.4
"LCD (LED)",140.56
"LCD (LED)",140.89
"LCD (LED)",141
"LCD (LED)",141.108
"LCD (LED)",142
"LCD (LED)",142.18
"LCD (LED)",142.4
"LCD (LED)",142.43
"LCD (LED)",143
"LCD (LED)",143.5
"LCD (LED)",143.6
"LCD (LED)",143.934
"LCD (LED)",144
"LCD (LED)",144.1
"LCD (LED)",144.2
"LCD (LED)",144.3
"LCD (LED)",144.5
"LCD (LED)",144.6
"LCD (LED)",144.63
"LCD (LED)",145
"LCD (LED)",145.4
"LCD (LED)",145.91
"LCD (LED)",146
"LCD (LED)",146.3
"LCD (LED)",147
"LCD (LED)",147.1
"LCD (LED)",147.3
"LCD (LED)",147.44
"LCD (LED)",147.6
"LCD (LED)",148
"LCD (LED)",148.2
"LCD (LED)",148.6
"LCD (LED)",148.69
"LCD (LED)",149.2
"LCD (LED)",149.34
"LCD (LED)",149.6
"LCD (LED)",149.8
"LCD (LED)",150
"LCD (LED)",150.59
"LCD (LED)",150.64
"LCD (LED)",150.7
"LCD (LED)",151
"LCD (LED)",151.11
"LCD (LED)",151.8
"LCD (LED)",152
"LCD (LED)",152.07
"LCD (LED)",152.2
"LCD (LED)",152.8
"LCD (LED)",153
"LCD (LED)",153.1
"LCD (LED)",153.24
"LCD (LED)",154
"LCD (LED)",154.03
"LCD (LED)",154.08
"LCD (LED)",154.51
"LCD (LED)",154.66
"LCD (LED)",155
"LCD (LED)",155.84
"LCD (LED)",156
"LCD (LED)",156.29
"LCD (LED)",156.42
"LCD (LED)",157
"LCD (LED)",157.32
"LCD (LED)",157.4
"LCD (LED)",157.47
"LCD (LED)",157.82
"LCD (LED)",158
"LCD (LED)",158.9
"LCD (LED)",159.1
"LCD (LED)",159.15
"LCD (LED)",159.3
"LCD (LED)",159.55
"LCD (LED)",159.6
"LCD (LED)",159.72
"LCD (LED)",160
"LCD (LED)",160.3
"LCD (LED)",160.49
"LCD (LED)",160.5
"LCD (LED)",160.8
"LCD (LED)",161
"LCD (LED)",161.33
"LCD (LED)",162
"LCD (LED)",163
"LCD (LED)",163.7
"LCD (LED)",164
"LCD (LED)",165
"LCD (LED)",165.5
"LCD (LED)",165.6
"LCD (LED)",165.8
"LCD (LED)",166
"LCD (LED)",167
"LCD (LED)",167.08
"LCD (LED)",167.13
"LCD (LED)",168
"LCD (LED)",168.2
"LCD (LED)",168.3
"LCD (LED)",168.67
"LCD (LED)",169
"LCD (LED)",169.26
"LCD (LED)",169.46
"LCD (LED)",169.86
"LCD (LED)",171
"LCD (LED)",171.2
"LCD (LED)",171.81
"LCD (LED)",171.9
"LCD (LED)",172
"LCD (LED)",172.02
"LCD (LED)",172.1
"LCD (LED)",172.13
"LCD (LED)",173
"LCD (LED)",173.3
"LCD (LED)",174
"LCD (LED)",174.4
