"Avg_mode_power","screensize (inch)"
28.2,39.624015748031496
28.3,23.551968503937008
28.33,31.517322834645668
28.58,23.807086614173226
28.6,31.517322834645668
28.7,23.807086614173226
28.86,31.493700787401576
29.05,23.83543307086614
29.07,39.5007874015748
29.15,31.512992125984255
29.22,31.536614173228344
29.55,31.511417322834646
29.57,31.511417322834646
29.6,31.511417322834646
30,31.48307086614173
30,31.512992125984255
30.28,23.816141732283466
30.3,39.49015748031496
31,31.48307086614173
31,31.511417322834646
31.1544,31.511417322834646
31.2,31.511417322834646
31.27,39.5007874015748
31.4,31.54763779527559
31.51,31.511417322834646
31.626,31.511417322834646
31.68,31.511417322834646
31.78,31.517322834645668
31.784,31.517322834645668
31.8,31.512992125984255
31.814,31.42952755905512
31.84,31.507480314960628
31.9,31.5507874015748
31.92,31.511417322834646
31.98,23.807086614173226
32,38.346850393700784
32.18,31.644094488188976
32.247,39.5007874015748
32.3,39.50472440944882
32.4,31.517322834645668
32.46,39.49015748031496
32.5,31.54763779527559
32.5,42.50236220472441
32.7,31.39527559055118
32.8,39.499212598425196
32.9,39.5007874015748
32.9,39.503937007874015
33,31.512992125984255
33.1,39.5007874015748
33.27,31.511417322834646
33.3,31.511417322834646
33.4,31.48307086614173
33.5,31.511417322834646
33.52,31.50944881889764
33.62,42.5015748031496
34,31.517322834645668
34.296,31.42952755905512
34.4,31.507480314960628
34.47,31.517322834645668
34.48,31.511417322834646
34.52,39.5007874015748
34.67,31.518503937007875
34.7,31.517322834645668
34.7,39.609055118110234
34.7106,39.5007874015748
34.76,31.511417322834646
34.8,31.511417322834646
35,31.48307086614173
35,39.50551181102362
35.04,31.32992125984252
35.1,39.49015748031496
35.18,39.5011811023622
35.2,31.511417322834646
35.2,31.512992125984255
35.2,31.55393700787402
35.2,39.5007874015748
35.3,31.511417322834646
35.3,39.49015748031496
35.4,31.512992125984255
35.47,31.517322834645668
35.598,42.56850393700787
35.6,31.448818897637793
35.6,39.49015748031496
35.63,39.5007874015748
35.67,42.5
35.8,31.511417322834646
35.8,39.49015748031496
35.9,39.49015748031496
35.97,31.42952755905512
35.97,42.50236220472441
36,31.499212598425196
36,42.514566929133856
36.2,31.511417322834646
36.26,39.502362204724406
36.27,39.65433070866141
36.32,39.5007874015748
36.4,43.02165354330709
36.5,39.49015748031496
36.6,42.50236220472441
36.7,39.681496062992125
36.7,42.5
36.8,39.49015748031496
36.9,31.511417322834646
36.9,39.50275590551181
36.91,39.5007874015748
36.95,31.511417322834646
37.1,31.54763779527559
37.86,31.48307086614173
38,42.5
38.12,31.54763779527559
38.16,42.5
38.2,41.50472440944882
38.3,41.4755905511811
38.4,42.5
38.46,31.80472440944882
38.6,31.48307086614173
38.6,39.5007874015748
38.82,39.4748031496063
38.85,42.56850393700787
38.92,39.5007874015748
38.946,39.5007874015748
39,31.499212598425196
39,31.511417322834646
39.24,42.4988188976378
39.33,31.536614173228344
39.5,42.5
39.8,41.48818897637795
39.8,43.096456692913385
39.9,39.45551181102362
40,39.49015748031496
40,39.5007874015748
40,49.4988188976378
40.1,42.5011811023622
40.25,39.681496062992125
40.38,39.5007874015748
40.4,39.5007874015748
40.4,39.503937007874015
40.45,31.9992125984252
40.7,39.5011811023622
41,39.5007874015748
41.38,41.50196850393701
41.5,39.5007874015748
41.5,42.514566929133856
41.53,42.5011811023622
41.6,39.5007874015748
41.8,42.5
41.8,54.61062992125985
41.94,42.4988188976378
41.95,39.5007874015748
42.3,41.494488188976376
42.7,42.5
42.76,26.99527559055118
42.76,30.388188976377954
42.804,42.56850393700787
43,31.499212598425196
43,41.4755905511811
43,42.514566929133856
43,42.75314960629921
43.1,49.463779527559055
43.2,39.5007874015748
43.23,42.53425196850394
43.25,31.54763779527559
43.5,39.50275590551181
43.6,39.50275590551181
43.6,42.5
43.9,41.49881889763779
44.2,41.50196850393701
44.2,42.51102362204724
44.6,42.50236220472441
44.91,39.5007874015748
44.99,39.5007874015748
45,49.4988188976378
45.012,42.572834645669296
45.3,39.50275590551181
45.5,42.514566929133856
45.69,42.5011811023622
46,42.514566929133856
46.1,39.417716535433065
46.11,49.5003937007874
46.5216,39.5007874015748
46.6,41.598031496062994
46.6632,42.5011811023622
46.8,39.49015748031496
46.99,41.50196850393701
47.02,39.5007874015748
47.04,42.46574803149606
47.1,42.5
47.2,33.92755905511811
47.23,39.502362204724406
47.23,42.514566929133856
47.3,39.50905511811023
47.3,49.5003937007874
47.37,48.49212598425197
47.5,49.463779527559055
47.5,49.50236220472441
47.72,41.50196850393701
47.76,42.46574803149606
47.9,49.5003937007874
48.19,31.511417322834646
48.68,39.50905511811023
48.76,39.5007874015748
48.96,41.4755905511811
49,42.514566929133856
49,54.63897637795275
49.1,39.5011811023622
49.14,42.5
49.2,49.463779527559055
49.21,41.50196850393701
49.6,49.5003937007874
49.7,64.4996062992126
49.98,42.44645669291338
50,39.49015748031496
50,42.75314960629921
50,49.463779527559055
50.04,42.514566929133856
50.3,49.463779527559055
50.44,42.49685039370078
50.5,39.681496062992125
50.5,42.5
50.56,42.51417322834646
50.6,49.5003937007874
50.67,42.4507874015748
50.73,42.53858267716535
50.909,42.485039370078745
51,39.49015748031496
51.03,42.514566929133856
51.04,42.51417322834646
51.09,42.5
51.12,42.51417322834646
51.2,39.97992125984252
51.3,39.50275590551181
51.44,42.514566929133856
51.49,42.514566929133856
51.6,49.49803149606299
51.6354,42.514566929133856
51.78,41.50196850393701
51.8,42.49685039370078
51.888,42.56850393700787
52,41.54763779527559
52.1,49.4988188976378
52.3,49.463779527559055
52.6,49.51732283464567
52.9,42.46574803149606
52.9,42.5
53,41.50196850393701
53,49.4988188976378
53,54.61062992125985
53.12,41.50472440944882
53.2,42.514566929133856
53.26,42.519291338582676
53.38,41.50433070866142
53.38,41.50472440944882
53.5,42.5
53.5,42.5011811023622
53.64,54.63897637795275
53.7,42.514566929133856
53.8,49.463779527559055
54,42.5
54,49.4988188976378
54,54.63897637795275
54.04,42.46574803149606
54.39,41.360236220472444
54.39,49.47874015748032
54.48,39.511811023622045
54.5,39.5007874015748
54.8,49.51732283464567
54.82,49.5003937007874
54.84,54.69881889763779
54.86,49.5003937007874
54.9,42.514566929133856
54.9,49.4988188976378
55,41.50472440944882
55,42.46574803149606
55,54.63897637795275
55.02,42.5
55.3,49.4988188976378
55.35,49.5003937007874
55.49,49.5003937007874
55.5,54.61062992125985
55.52,49.5003937007874
55.635,42.46574803149606
55.81,42.514566929133856
55.82,41.50472440944882
55.9,42.514566929133856
56,42.56850393700787
56,64.52637795275591
56.1,57.49566929133858
56.59,49.49803149606299
56.7,49.4988188976378
56.9,49.53228346456693
56.97,49.5003937007874
57,54.63897637795275
57.06,50.10196850393701
57.2,49.5003937007874
57.3,39.5007874015748
57.474,42.5
57.6,41.494488188976376
57.65,42.53425196850394
57.75,42.51417322834646
57.79,42.514566929133856
57.9,54.63897637795275
57.97,54.63897637795275
58,42.48070866141732
58,42.514566929133856
58,47.5248031496063
58.2,42.5
58.4,49.463779527559055
58.4,54.61062992125985
58.7,55.312598425196846
58.81,49.5003937007874
58.95,49.5003937007874
59,39.49015748031496
59,54.63897637795275
59.02,49.5003937007874
59.24,42.51496062992126
59.47,49.5003937007874
